English                     	日本語
Neutrophil                  	好中球
Occipital cortex            	後頭皮質
Ocular ciliary body         	眼毛様体
Ocular ciliary epithelium   	眼毛様体上皮
Odontoblast                 	象牙芽細胞
Olfactory bulb              	嗅球
Oligodendroglioma           	乏突起膠腫
Oocyte                      	卵母細胞
Optic nerve                 	視神経
Oral cancer                 	口腔がん
Oral epithelium             	口腔上皮
Oral mucosa                 	口腔粘膜
Organ of Corti              	コルチ器
Osteoarthritic cartilage    	変形性関節症軟骨
Osteoblast                  	骨芽細胞
Osteoclast                  	破骨細胞
Osteoclastoma               	破骨細胞腫
Osteocyte                   	骨細胞
Osteosarcoma                	骨肉腫
Ovarian adenocarcinoma      	卵巣腺癌
Ovarian cancer              	卵巣がん
Ovarian carcinoma           	卵巣癌
Ovarian follicular fluid    	卵巣濾胞液
Ovarian granulosa cell      	卵巣顆粒膜細胞
Ovary                       	卵巣
Ovary tumor                 	卵巣腫瘍
Oviduct                     	卵管
PNS                         	末梢神経系
Pancreas                    	膵臓
Pancreas islet cell         	膵島細胞
Pancreatic adenocarcinoma   	膵腺癌
Pancreatic cancer           	膵がん
Pancreatic carcinoma        	膵癌
Pancreatic islet            	膵島
Pancreatic tumor            	膵腫瘍
Parathyroid                 	副甲状腺
Parathyroid adenoma         	副甲状腺腺腫
Parotid gland               	耳下腺
Pectoralis muscle           	大胸筋
Penis                       	陰茎
Pericardium                 	心膜
Periodontal ligament        	歯根膜
Peripheral blood            	末梢血
Peripheral blood T-cell     	末梢血T細胞
Peripheral blood granulocyte	末梢血顆粒球
Peripheral blood leukocyte  	末梢血白血球
Peripheral blood lymphocyte 	末梢血リンパ球
Peripheral blood monocyte   	末梢血単球
Peripheral blood neutrophil 	末梢血好中球
Peripheral nerve            	末梢神経
Pharynx carcinoma           	咽頭癌
Pheochromocytoma            	褐色細胞腫
Pineal gland                	松果体
Pituitary                   	下垂体
Pituitary adenoma           	下垂体腺腫
Pituitary anterior lobe     	下垂体前葉
Pituitary tumor             	下垂体腫瘍
Placenta                    	胎盤
Plasma                      	血漿
Plasmacytoid dendritic cell 	形質細胞様樹状細胞
Platelet                    	血小板
Pons                        	橋
Pre-B cell                  	前駆B細胞
Prefrontal cortex           	前頭前皮質
Premonocytic leukemia       	前単球性白血病
Premonocytic lymphoma       	前単球性リンパ腫
Promyelocyte                	前骨髄球
Promyelocytic leukemia      	前骨髄球性白血病
Prostate                    	前立腺
Prostate cancer             	前立腺がん
Prostatic adenocarcinoma    	前立腺腺癌
Prostatic carcinoma         	前立腺癌
Psoriatic skin              	乾癬皮膚
Pulmonary artery            	肺動脈
Rectum                      	直腸
Rectum tumor                	直腸腫瘍
Regenerating liver          	再生肝
Renal cell carcinoma        	腎細胞癌
Renal cyst lining cell      	腎嚢胞裏打ち細胞
Renal glomerulus            	腎糸球体
Renal medulla               	腎髄質
Reticulocyte                	網赤血球
Retina                      	網膜
Retinal cone cell           	網膜錐体細胞
Retinal pigment epithelium  	網膜色素上皮
Retinal rod cell            	網膜杆体細胞
Retinoblastoma              	網膜芽細胞腫
Rhabdomyosarcoma            	横紋筋肉腫
Rheumatoid arthritic synovial fluid	リウマチ性関節炎滑液
Saliva                      	唾液
Salivary gland              	唾液腺
Scalp                       	頭皮
Sciatic nerve               	坐骨神経
Semen                       	精液
Seminal plasma              	精漿
Seminal vesicle             	精嚢
Seminiferous tubule         	精細管
Seminoma                    	精巣腫瘍
Serum                       	血清
Signet-ring cell carcinoma  	印環細胞癌
Skeletal muscle             	骨格筋
Skin                        	皮膚
Skin fibroblast             	皮膚線維芽細胞
Slow skeletal muscle        	遅筋
Small intestine             	小腸
Small intestine mucosa      	小腸粘膜
Smooth muscle               	平滑筋
Smooth muscle cell          	平滑筋細胞
Sperm                       	精子
Spermatocyte                	精母細胞
Spinal cord                 	脊髄
Spinal ganglion             	脊髄神経節
Spleen                      	脾臓
Sputum                      	痰
Squamous cell carcinoma     	扁平上皮癌
Stomach                     	胃
Stomach cancer              	胃がん
Stratum corneum             	角質層
Subcommissural organ        	交連下器官
Sublingual gland            	舌下腺
Submandibular gland         	顎下腺
Substantia nigra            	黒質
Subthalamic nucleus         	視床下核
Sweat gland                 	汗腺
Sympathetic ganglion        	交感神経節
Synovial cell               	滑膜細胞
Synovial fluid              	滑液
Synovial sarcoma            	滑膜肉腫
Synovium                    	滑膜
T lymphoblast               	Tリンパ芽球
T-cell                      	T細胞
T-cell lymphoma             	T細胞リンパ腫
Tear                        	涙
Telencephalon               	終脳
Temporal cortex             	側頭皮質
Teratocarcinoma             	奇形腫
Term myometrium             	分娩期子宮筋層
Term placenta               	分娩期胎盤
Testis                      	精巣
Testis carcinoma            	精巣癌
Thalamus                    	視床
Thigh epidermis             	大腿表皮
Thymic epithelium           	胸腺上皮
Thymocyte                   	胸腺細胞
Thymus                      	胸腺
Thyroid                     	甲状腺
Thyroid carcinoma           	甲状腺癌
Thyroid papillary carcinoma 	甲状腺乳頭癌
Thyroid tumor               	甲状腺腫瘍
Tongue                      	舌
Tongue epithelium           	舌上皮
Tonsil                      	扁桃
Tonsillar carcinoma         	扁桃癌
Tooth                       	歯
Tooth bud                   	歯胚
Trabecular meshwork         	小柱網
Trachea                     	気管
Tracheal epithelium         	気管上皮
Tracheobronchial epithelium 	気管支上皮
Tracheobronchial mucosa     	気管支粘膜
Trophoblast                 	栄養膜細胞
Umbilical artery            	臍動脈
Umbilical cord              	臍帯
Umbilical cord blood        	臍帯血
Umbilical smooth muscle     	臍平滑筋
Umbilical vein              	臍静脈
Umbilical vein endothelial cell	臍静脈内皮細胞
Unclassified                	分類不能
Ureter                      	尿管
Urinary bladder             	膀胱
Urinary bladder carcinoma   	膀胱癌
Urinary bladder smooth muscle	膀胱平滑筋
Urinary bladder urothelium  	膀胱上皮
Urinary bladder wart        	膀胱疣
Urine                       	尿
Urothelium                  	尿路上皮
Uterine adenocarcinoma      	子宮腺癌
Uterine ectocervix          	子宮外頸
Uterine endothelium         	子宮内皮
Uterine leiomyoma           	子宮平滑筋腫
Uterus                      	子宮
Vagina                      	膣
Vascular endothelial cell   	血管内皮細胞
Vascular smooth muscle      	血管平滑筋
Vein                        	静脈
Venom                       	毒液
Venom gland                 	毒腺
Vulva                       	外陰部
White adipose tissue        	白色脂肪組織
Xylem                       	木部
