Gene stable ID	Gene start (bp)	Gene end (bp)	Strand	Karyotype band	Chromosome/scaffold name	HGNC ID	HGNC symbol	UniProtKB/Swiss-Prot ID
ENSG00000288204	98859	124622	-1		HG1298_PATCH	HGNC:5017	HMX1	Q9NP08
ENSG00000291421	50095	122536	1		HG1369_PATCH	HGNC:29279	BAHCC1	
ENSG00000288499	168259	235989	1		HG1309_PATCH	HGNC:22140	FAM20C	Q8IXL6
ENSG00000288431	238026	238462	1		HG1309_PATCH			
ENSG00000263150	21622	22569	-1		HG142_HG150_NOVEL_TEST	HGNC:15311	OR8J2	
ENSG00000262851	42855	43934	-1		HG142_HG150_NOVEL_TEST	HGNC:15296	OR5T2	Q8NGG2
ENSG00000261897	62949	63971	1		HG142_HG150_NOVEL_TEST	HGNC:15297	OR5T3	Q8NGG3
ENSG00000262784	86388	87368	1		HG142_HG150_NOVEL_TEST	HGNC:14821	OR5T1	Q8NG75
ENSG00000262611	100802	101839	-1		HG142_HG150_NOVEL_TEST	HGNC:14824	OR8H1	Q8NGG4
ENSG00000262611	100802	101839	-1		HG142_HG150_NOVEL_TEST	HGNC:14824	OR8H1	
ENSG00000262755	129056	129994	1		HG142_HG150_NOVEL_TEST	HGNC:15313	OR8K3	Q8NH51
ENSG00000263328	156788	157747	1		HG142_HG150_NOVEL_TEST	HGNC:14831	OR8K1	Q8NGG5
ENSG00000262796	170964	172037	1		HG142_HG150_NOVEL_TEST	HGNC:14855	OR8J1	Q8NGP2
ENSG00000262315	186374	187333	1		HG142_HG150_NOVEL_TEST	HGNC:27538	OR8U8	
ENSG00000281038	193979	194908	1		HG142_HG150_NOVEL_TEST	HGNC:29166	OR8U9	P0C7N5
ENSG00000288269	17625	27501	1		HG1320_PATCH	HGNC:4192	GCGR	
ENSG00000288269	17625	27501	1		HG1320_PATCH	HGNC:4192	GCGR	P47871
ENSG00000288319	7682	21171	1		HG1485_PATCH			
ENSG00000288213	35854	46795	-1		HG1320_PATCH	HGNC:28007	MCRIP1	C9JLW8
ENSG00000288213	35854	46795	-1		HG1320_PATCH	HGNC:28007	MCRIP1	
ENSG00000288186	46985	48543	-1		HG1320_PATCH	HGNC:16813	PPP1R27	Q86WC6
ENSG00000288186	46985	48543	-1		HG1320_PATCH	HGNC:16813	PPP1R27	
ENSG00000281934	6118	12923	-1		HG1342_HG2282_PATCH	HGNC:14086	PRAMEF11	O60813
ENSG00000282175	28921	30238	-1		HG1342_HG2282_PATCH	HGNC:29295	HNRNPCL1	O60812
ENSG00000282817	38599	43422	1		HG1342_HG2282_PATCH	HGNC:28841	PRAMEF2	O60811
ENSG00000282584	60725	67714	-1		HG1342_HG2282_PATCH	HGNC:31971	PRAMEF4	O60810
ENSG00000282663	74409	79783	-1		HG1342_HG2282_PATCH	HGNC:27997	PRAMEF10	O60809
ENSG00000279195	98123	101995	1		HG1342_HG2282_PATCH	HGNC:28415	PRAMEF7	Q5VXH5
ENSG00000282119	119985	129093	-1		HG1342_HG2282_PATCH	HGNC:30583	PRAMEF6	Q5VXH4
ENSG00000282437	203816	210831	-1		HG1342_HG2282_PATCH	HGNC:51234	PRAMEF27	A3QJZ7
ENSG00000282559	215209	216569	1		HG1342_HG2282_PATCH	HGNC:51235	HNRNPCL3	B7ZW38
ENSG00000282566	223017	232224	1		HG1342_HG2282_PATCH	HGNC:49179	PRAMEF25	A6NGN4
ENSG00000282530	269828	271194	-1		HG1342_HG2282_PATCH	HGNC:48813	HNRNPCL2	B2RXH8
ENSG00000281987	303245	310301	-1		HG1342_HG2282_PATCH	HGNC:49178	PRAMEF26	
ENSG00000282095	318926	319807	-1		HG1342_HG2282_PATCH	HGNC:51333	HNRNPCL4	P0DMR1
ENSG00000261958	7154	8071	1		HG151_NOVEL_TEST	HGNC:15319	OR9G1	
ENSG00000262191	18234	19151	1		HG151_NOVEL_TEST	HGNC:31940	OR9G9	
ENSG00000282298	326795	333804	1		HG1342_HG2282_PATCH	HGNC:27996	PRAMEF9	
ENSG00000282741	350528	355749	-1		HG1342_HG2282_PATCH	HGNC:13262	PRAMEF13	Q5VWM6
ENSG00000282741	350528	355749	-1		HG1342_HG2282_PATCH	HGNC:13262	PRAMEF13	
ENSG00000262647	60669	61653	-1		HG151_NOVEL_TEST	HGNC:15322	OR9G4	Q8NGQ1
ENSG00000282212	377045	380446	-1		HG1342_HG2282_PATCH	HGNC:30693	PRAMEF18	Q5VWM3
ENSG00000282424	408552	417654	1		HG1342_HG2282_PATCH	HGNC:27995	PRAMEF5	Q5TYX0
ENSG00000281107	137423	138358	-1		HG151_NOVEL_TEST	HGNC:15287	OR5G3	
ENSG00000282583	435375	439514	-1		HG1342_HG2282_PATCH	HGNC:24074	PRAMEF8	Q5VWM4
ENSG00000282125	457879	463247	1		HG1342_HG2282_PATCH	HGNC:49193	PRAMEF33	A0A0G2JMD5
ENSG00000293551	157184	159964	1		HG1342_HG2282_PATCH	HGNC:34393	PRAMEF22	
ENSG00000291381	1991	16789	-1		HG1343_HG173_HG459_PATCH	HGNC:26604	ARHGEF19	
ENSG00000288263	18042	39335	1		HG1524_PATCH	HGNC:10013	GRK1	Q15835
ENSG00000291382	35829	41320	-1		HG1343_HG173_HG459_PATCH	HGNC:28127	CPLANE2	
ENSG00000291375	50977	156623	-1		HG1343_HG173_HG459_PATCH	HGNC:29249	FBXO42	
ENSG00000291379	156718	202286	1		HG1343_HG173_HG459_PATCH	HGNC:30232	SZRD1	
ENSG00000291401	191257	241687	-1		HG1343_HG173_HG459_PATCH	HGNC:28026	SPATA21	
ENSG00000291380	244986	264343	1		HG1343_HG173_HG459_PATCH	HGNC:25528	NECAP2	
ENSG00000291387	1481961	1534651	-1		HG1343_HG173_HG459_PATCH	HGNC:18341	PADI2	
ENSG00000291426	8637	43920	-1		HG152_PATCH	HGNC:16476	TOLLIP	
ENSG00000292226	366657	428849	-1		HG1343_HG173_HG459_PATCH			
ENSG00000292228	1011165	1078120	1		HG1343_HG173_HG459_PATCH			
ENSG00000291428	124165	196955	1		HG152_PATCH	HGNC:11405	BRSK2	
ENSG00000292227	585030	647269	-1		HG1343_HG173_HG459_PATCH			
ENSG00000292225	1198562	1260797	1		HG1343_HG173_HG459_PATCH	HGNC:26088	NBPF1	
ENSG00000291431	294027	312247	-1		HG152_PATCH	HGNC:3074	DUSP8	
ENSG00000291433	324318	325259	-1		HG152_PATCH	HGNC:23596	KRTAP5-1	
ENSG00000291434	337153	338270	-1		HG152_PATCH	HGNC:23597	KRTAP5-2	
ENSG00000291435	347541	348439	-1		HG152_PATCH	HGNC:23598	KRTAP5-3	
ENSG00000291440	360934	362114	-1		HG152_PATCH	HGNC:23599	KRTAP5-4	
ENSG00000291443	369751	370906	1		HG152_PATCH	HGNC:23601	KRTAP5-5	
ENSG00000291442	203723	274455	-1		HG152_PATCH	HGNC:24904	MOB2	
ENSG00000291455	225079	227881	1		HG1532_PATCH	HGNC:37471	TSPY8	
ENSG00000291458	204746	207566	1		HG1532_PATCH	HGNC:37287	TSPY4	
ENSG00000291459	488788	491602	1		HG1532_PATCH	HGNC:37472	TSPY9	
ENSG00000281449	18842	180082	1		HG1362_PATCH	HGNC:16657	BCL2L14	Q9BZR8
ENSG00000281449	18842	180082	1		HG1362_PATCH	HGNC:16657	BCL2L14	
ENSG00000281324	85023	236042	-1		HG1362_PATCH	HGNC:6698	LRP6	O75581
ENSG00000281324	85023	236042	-1		HG1362_PATCH	HGNC:6698	LRP6	
ENSG00000281818	295054	319240	-1		HG1362_PATCH	HGNC:25505	MANSC1	Q9H8J5
ENSG00000281818	295054	319240	-1		HG1362_PATCH	HGNC:25505	MANSC1	
ENSG00000280689	326076	440236	1		HG1362_PATCH	HGNC:17950	BORCS5	Q969J3
ENSG00000280689	326076	440236	1		HG1362_PATCH	HGNC:17950	BORCS5	
ENSG00000280962	442285	531866	-1		HG1362_PATCH	HGNC:17909	DUSP16	Q9BY84
ENSG00000280962	442285	531866	-1		HG1362_PATCH	HGNC:17909	DUSP16	
ENSG00000292327	333933	386955	-1	p11.31	Y	HGNC:13417	PPP2R3B	
ENSG00000292332	1336616	1382689	1	p11.2	Y	HGNC:6012	IL3RA	
ENSG00000292333	1462581	1537185	-1	p11.2	Y	HGNC:15524	P2RY8	
ENSG00000292334	1386152	1392113	-1	p11.2	Y	HGNC:10992	SLC25A6	
ENSG00000292336	1615059	1643081	1	p11.2	Y	HGNC:750	ASMT	
ENSG00000292338	2219506	2502805	-1	p11.2	Y	HGNC:18399	DHRSX	
ENSG00000292339	1403139	1453762	-1	p11.2	Y	HGNC:751	ASMTL	
ENSG00000292343	1591604	1602520	1	p11.2	Y	HGNC:18783	AKAP17A	
ENSG00000292344	276322	303356	1	p11.32	Y	HGNC:23148	PLCXD1	
ENSG00000292345	2486414	2500976	-1	p11.2	Y	HGNC:447	ZBED1	
ENSG00000292348	2691187	2741309	1	p11.2	Y	HGNC:7082	CD99	
ENSG00000292354	624344	659411	1	p11.2	Y	HGNC:10853	SHOX	
ENSG00000292357	1268800	1310381	1	p11.2	Y	HGNC:2435	CSF2RA	
ENSG00000292358	304529	318796	-1	p11.31	Y	HGNC:30189	GTPBP6	
ENSG00000292363	1190490	1212723	-1	p11.2	Y	HGNC:14281	CRLF2	
ENSG00000292366	57067865	57130289	1	q12	Y	HGNC:11486	VAMP7	
ENSG00000292372	57207346	57212230	1	q12	Y	HGNC:31685	WASH6P	
ENSG00000292373	57184216	57197337	1	q12	Y	HGNC:6030	IL9R	
ENSG00000169789	22490397	22514637	1	q11.223	Y	HGNC:14024	PRY	O14603
ENSG00000288260	32845	52502	-1		HG1395_PATCH			
ENSG00000288297	39089	52538	-1		HG1395_PATCH	HGNC:35454	ECSCR	Q19T08
ENSG00000288274	60573	64567	1		HG1395_PATCH	HGNC:53645	SMIM33	A0A1B0GW64
ENSG00000288243	65328	72730	-1		HG1395_PATCH	HGNC:27962	STING1	Q86WV6
ENSG00000288243	65328	72730	-1		HG1395_PATCH	HGNC:27962	STING1	
ENSG00000114374	12537650	12860839	1	q11.221	Y	HGNC:12633	USP9Y	O00507
ENSG00000114374	12537650	12860839	1	q11.221	Y	HGNC:12633	USP9Y	
ENSG00000169807	22071756	22096007	-1	q11.223	Y	HGNC:21504	PRY2	O14603
ENSG00000198692	20575776	20593154	1	q11.223	Y	HGNC:3252	EIF1AY	O14602
ENSG00000198692	20575776	20593154	1	q11.223	Y	HGNC:3252	EIF1AY	
ENSG00000183753	22973819	23005465	1	q11.223	Y	HGNC:13508	BPY2	
ENSG00000183753	22973819	23005465	1	q11.223	Y	HGNC:13508	BPY2	O14599
ENSG00000244395	21880076	21894526	-1	q11.223	Y	HGNC:23915	RBMY1D	
ENSG00000244395	21880076	21894526	-1	q11.223	Y	HGNC:23915	RBMY1D	P0C7P1
ENSG00000169953	18731440	18773735	-1	q11.222	Y	HGNC:23950	HSFY2	Q96LI6
ENSG00000012817	19703865	19744939	-1	q11.223	Y	HGNC:11115	KDM5D	Q9BY66
ENSG00000012817	19703865	19744939	-1	q11.223	Y	HGNC:11115	KDM5D	
ENSG00000172468	18546691	18588963	1	q11.222	Y	HGNC:18568	HSFY1	Q96LI6
ENSG00000176679	3579067	3580041	1	p11.2	Y	HGNC:18569	TGIF2LY	Q8IUE0
ENSG00000169800	22168542	22182982	-1	q11.223	Y	HGNC:23974	RBMY1F	Q15415
ENSG00000169800	22168542	22182982	-1	q11.223	Y	HGNC:23974	RBMY1F	
ENSG00000182415	18025787	18027746	1	q11.222	Y	HGNC:1810	CDY2A	Q9Y6F7
ENSG00000185894	25030901	25062548	-1	q11.23	Y	HGNC:18225	BPY2C	O14599
ENSG00000185894	25030901	25062548	-1	q11.23	Y	HGNC:18225	BPY2C	
ENSG00000205916	24833843	24907040	1	q11.23	Y	HGNC:15966	DAZ4	
ENSG00000205916	24833843	24907040	1	q11.23	Y	HGNC:15966	DAZ4	Q86SG3
ENSG00000129873	17878260	17880220	-1	q11.222	Y	HGNC:23921	CDY2B	Q9Y6F7
ENSG00000184895	2786855	2787682	-1	p11.2	Y	HGNC:11311	SRY	Q05066
ENSG00000129824	2841602	2932000	1	p11.2	Y	HGNC:10425	RPS4Y1	P22090
ENSG00000129824	2841602	2932000	1	p11.2	Y	HGNC:10425	RPS4Y1	
ENSG00000067646	2935281	2982506	1	p11.2	Y	HGNC:12870	ZFY	P08048
ENSG00000067646	2935281	2982506	1	p11.2	Y	HGNC:12870	ZFY	
ENSG00000067048	12904108	12920478	1	q11.221	Y	HGNC:2699	DDX3Y	O15523
ENSG00000067048	12904108	12920478	1	q11.221	Y	HGNC:2699	DDX3Y	
ENSG00000288512	8669	20226	-1		HG1398_PATCH	HGNC:1246	C1R	
ENSG00000288124	17273	36924	-1		HG1398_PATCH	HGNC:21265	C1RL	
ENSG00000288124	17273	36924	-1		HG1398_PATCH	HGNC:21265	C1RL	Q9NZP8
ENSG00000288369	43422	56575	-1		HG1398_PATCH	HGNC:15847	RBP5	P82980
ENSG00000288369	43422	56575	-1		HG1398_PATCH	HGNC:15847	RBP5	
ENSG00000288427	57384	86631	1		HG1398_PATCH	HGNC:18371	CLSTN3	
ENSG00000288427	57384	86631	1		HG1398_PATCH	HGNC:18371	CLSTN3	Q9BQT9
ENSG00000183878	13234577	13480673	-1	q11.221	Y	HGNC:12638	UTY	
ENSG00000183878	13234577	13480673	-1	q11.221	Y	HGNC:12638	UTY	O14607
ENSG00000288217	116371	146260	1		HG1398_PATCH	HGNC:9719	PEX5	
ENSG00000154620	13703899	13706024	1	q11.221	Y	HGNC:11882	TMSB4Y	O14604
ENSG00000129864	13985772	13986473	-1	q11.221	Y	HGNC:12668	VCY	O14598
ENSG00000187191	24763069	24813492	-1	q11.23	Y	HGNC:15965	DAZ3	Q9NR90
ENSG00000187191	24763069	24813492	-1	q11.23	Y	HGNC:15965	DAZ3	
ENSG00000188120	23129355	23199010	-1	q11.223	Y	HGNC:2682	DAZ1	Q9NQZ3
ENSG00000188120	23129355	23199010	-1	q11.223	Y	HGNC:2682	DAZ1	
ENSG00000099721	6865918	6911752	-1	p11.2	Y	HGNC:462	AMELY	Q99218
ENSG00000288217	116371	146260	1		HG1398_PATCH	HGNC:9719	PEX5	P50542
ENSG00000092377	6910686	7101970	1	p11.2	Y	HGNC:18502	TBL1Y	Q9BQ87
ENSG00000092377	6910686	7101970	1	p11.2	Y	HGNC:18502	TBL1Y	
ENSG00000205944	23219447	23291356	1	q11.223	Y	HGNC:15964	DAZ2	Q13117
ENSG00000205944	23219447	23291356	1	q11.223	Y	HGNC:15964	DAZ2	
ENSG00000242389	21903618	21918042	-1	q11.223	Y	HGNC:23916	RBMY1E	
ENSG00000242389	21903618	21918042	-1	q11.223	Y	HGNC:23916	RBMY1E	A6NEQ0
ENSG00000165246	14522573	14845654	1	q11.221	Y	HGNC:15529	NLGN4Y	
ENSG00000165246	14522573	14845654	1	q11.221	Y	HGNC:15529	NLGN4Y	Q8NFZ3
ENSG00000129862	14056227	14056958	1	q11.221	Y	HGNC:31751	VCY1B	O14598
ENSG00000280969	20756108	20781032	1	q11.223	Y	HGNC:18501	RPS4Y2	Q8TD47
ENSG00000099715	5000226	5742224	1	p11.2	Y	HGNC:15813	PCDH11Y	Q9BZA8
ENSG00000099715	5000226	5742224	1	p11.2	Y	HGNC:15813	PCDH11Y	
ENSG00000172352	24045229	24048019	-1	q11.23	Y	HGNC:23920	CDY1B	Q9Y6F8
ENSG00000183795	24607560	24639207	1	q11.23	Y	HGNC:25449	BPY2B	
ENSG00000183795	24607560	24639207	1	q11.23	Y	HGNC:25449	BPY2B	O14599
ENSG00000172288	25622117	25624902	1	q11.23	Y	HGNC:1809	CDY1	Q9Y6F8
ENSG00000226941	22403410	22417881	1	q11.223	Y	HGNC:23917	RBMY1J	Q15415
ENSG00000242875	21511338	21525786	1	q11.223	Y	HGNC:23914	RBMY1B	A6NDE4
ENSG00000242875	21511338	21525786	1	q11.223	Y	HGNC:23914	RBMY1B	
ENSG00000234414	21534879	21549326	1	q11.223	Y	HGNC:9912	RBMY1A1	P0DJD3
ENSG00000234414	21534879	21549326	1	q11.223	Y	HGNC:9912	RBMY1A1	
ENSG00000233803	9337464	9340284	1	p11.2	Y	HGNC:37287	TSPY4	
ENSG00000233803	9337464	9340284	1	p11.2	Y	HGNC:37287	TSPY4	P0CV99
ENSG00000229549	9357797	9360599	1	p11.2	Y	HGNC:37471	TSPY8	
ENSG00000229549	9357797	9360599	1	p11.2	Y	HGNC:37471	TSPY8	P0CW00
ENSG00000228927	9398421	9401223	1	p11.2	Y	HGNC:33876	TSPY3	P0CV98
ENSG00000228927	9398421	9401223	1	p11.2	Y	HGNC:33876	TSPY3	
ENSG00000284255	23101	24163	-1		HG1708_PATCH	HGNC:15168	OR4C12	Q96R67
ENSG00000292249	74500	75420	1		HG1708_PATCH	HGNC:31270	OR4C45	A6NMZ5
ENSG00000258992	9466955	9469749	1	p11.2	Y	HGNC:12381	TSPY1	Q01534
ENSG00000238074	9487267	9490081	1	p11.2	Y	HGNC:37472	TSPY9	A0A494C1R9
ENSG00000236424	9527880	9530682	1	p11.2	Y	HGNC:37473	TSPY10	P0CW01
ENSG00000236424	9527880	9530682	1	p11.2	Y	HGNC:37473	TSPY10	
ENSG00000168757	6246223	6249019	1	p11.2	Y	HGNC:23924	TSPY2	
ENSG00000168757	6246223	6249019	1	p11.2	Y	HGNC:23924	TSPY2	A6NKD2
ENSG00000281230	12538	26373	1		HG1832_PATCH	HGNC:25236	SERTAD4	Q9NUC0
ENSG00000285063	116955	119843	-1		HG2023_PATCH	HGNC:19136	FRG2	Q64ET8
ENSG00000283153	33800	56132	1		HG2023_PATCH	HGNC:3954	FRG1	
ENSG00000283153	33800	56132	1		HG2023_PATCH	HGNC:3954	FRG1	Q14331
ENSG00000280680	107994	459395	1		HG1832_PATCH	HGNC:18270	HHAT	Q5VTY9
ENSG00000284383	163856	165127	1		HG2023_PATCH			
ENSG00000284496	167162	168433	1		HG2023_PATCH			
ENSG00000284262	170468	171739	1		HG2023_PATCH			
ENSG00000283767	173774	175045	1		HG2023_PATCH			
ENSG00000284210	177080	178351	1		HG2023_PATCH			
ENSG00000283884	180386	181657	1		HG2023_PATCH			
ENSG00000283955	183692	184963	1		HG2023_PATCH			
ENSG00000284025	186998	188269	1		HG2023_PATCH			
ENSG00000283878	190304	191575	1		HG2023_PATCH			
ENSG00000284181	193610	194881	1		HG2023_PATCH			
ENSG00000283820	196916	198187	1		HG2023_PATCH			
ENSG00000283363	160550	161824	1		HG2023_PATCH	HGNC:38670	DUX4L8	
ENSG00000280680	107994	459395	1		HG1832_PATCH	HGNC:18270	HHAT	
ENSG00000283949	200222	211819	1		HG2023_PATCH	HGNC:50800	DUX4	
ENSG00000283949	200222	211819	1		HG2023_PATCH	HGNC:50800	DUX4	Q9UBX2
ENSG00000280584	31223	35196	-1		HG2030_PATCH	HGNC:23381	OBP2B	Q9NPH6
ENSG00000281309	154870	162282	-1		HG2030_PATCH	HGNC:11478	SURF6	O75683
ENSG00000281022	164406	174225	-1		HG2030_PATCH	HGNC:11477	MED22	Q15528
ENSG00000281022	164406	174225	-1		HG2030_PATCH	HGNC:11477	MED22	
ENSG00000280858	174312	177520	1		HG2030_PATCH	HGNC:10364	RPL7A	P62424
ENSG00000280858	174312	177520	1		HG2030_PATCH	HGNC:10364	RPL7A	
ENSG00000283984	176775	177487	-1		HG2030_PATCH			
ENSG00000280627	177852	182770	-1		HG2030_PATCH	HGNC:11474	SURF1	Q15526
ENSG00000280627	177852	182770	-1		HG2030_PATCH	HGNC:11474	SURF1	
ENSG00000281024	182644	187252	1		HG2030_PATCH	HGNC:11475	SURF2	Q15527
ENSG00000280951	187544	202260	-1		HG2030_PATCH	HGNC:11476	SURF4	
ENSG00000280951	187544	202260	-1		HG2030_PATCH	HGNC:11476	SURF4	O15260
ENSG00000281245	202460	232190	1		HG2030_PATCH	HGNC:28669	STKLD1	Q8NE28
ENSG00000280706	232153	244190	-1		HG2030_PATCH	HGNC:12820	REXO4	Q9GZR2
ENSG00000280706	232153	244190	-1		HG2030_PATCH	HGNC:12820	REXO4	
ENSG00000154646	18269116	18485879	-1	q21.1	21	HGNC:9490	TMPRSS15	P98073
ENSG00000154646	18269116	18485879	-1	q21.1	21	HGNC:9490	TMPRSS15	
ENSG00000154639	17513043	17593579	1	q21.1	21	HGNC:2559	CXADR	P78310
ENSG00000281244	240452	285496	1		HG2030_PATCH	HGNC:1366	ADAMTS13	Q76LX8
ENSG00000281244	240452	285496	1		HG2030_PATCH	HGNC:1366	ADAMTS13	
ENSG00000280479	286059	296942	1		HG2030_PATCH	HGNC:1365	CACFD1	Q9UGQ2
ENSG00000280479	286059	296942	1		HG2030_PATCH	HGNC:1365	CACFD1	
ENSG00000142207	32311018	32393012	-1	q22.11	21	HGNC:17344	URB1	O60287
ENSG00000232263	30289145	30289514	-1	q22.11	21	HGNC:34003	KRTAP25-1	Q3LHN0
ENSG00000281165	297188	305221	-1		HG2030_PATCH	HGNC:11011	SLC2A6	Q9UGQ3
ENSG00000281165	297188	305221	-1		HG2030_PATCH	HGNC:11011	SLC2A6	
ENSG00000281879	76358	102118	-1		HG2030_PATCH	HGNC:79	ABO	
ENSG00000154721	25639258	25717562	1	q21.3	21	HGNC:14686	JAM2	P57087
ENSG00000154721	25639258	25717562	1	q21.3	21	HGNC:14686	JAM2	
ENSG00000156282	30165565	30166805	-1	q21.3	21	HGNC:2038	CLDN17	P56750
ENSG00000166265	26466209	26573286	-1	q21.3	21	HGNC:16274	CYYR1	Q96J86
ENSG00000243927	34073224	34143034	1	q22.11	21	HGNC:14051	MRPS6	P82932
ENSG00000188694	30281309	30282950	-1	q22.11	21	HGNC:33902	KRTAP24-1	Q3LI83
ENSG00000198743	34073578	34106260	1	q22.11	21	HGNC:11038	SLC5A3	P53794
ENSG00000159259	36385392	36419015	1	q22.12	21	HGNC:1911	CHAF1B	Q13112
ENSG00000156304	31671000	31732118	-1	q22.11	21	HGNC:19304	SCAF4	O95104
ENSG00000154654	20998409	21543329	1	q21.1	21	HGNC:7657	NCAM2	O15394
ENSG00000154654	20998409	21543329	1	q21.1	21	HGNC:7657	NCAM2	
ENSG00000156284	30214006	30216097	-1	q22.11	21	HGNC:2050	CLDN8	P56748
ENSG00000222018	34400112	34401072	-1	q22.12	21	HGNC:39602	C21orf140	B9A014
ENSG00000142149	31873020	32044633	1	q22.11	21	HGNC:13326	HUNK	P57058
ENSG00000142149	31873020	32044633	1	q22.11	21	HGNC:13326	HUNK	
ENSG00000154642	17788974	17819386	-1	q21.1	21	HGNC:16459	C21orf91	Q9NYK6
ENSG00000154642	17788974	17819386	-1	q21.1	21	HGNC:16459	C21orf91	
ENSG00000159256	36320189	36386148	1	q22.12	21	HGNC:23572	MORC3	Q14149
ENSG00000283781	991	10231	1		HG2046_PATCH	HGNC:11940	TNK1	Q13470
ENSG00000159256	36320189	36386148	1	q22.12	21	HGNC:23572	MORC3	
ENSG00000283781	991	10231	1		HG2046_PATCH	HGNC:11940	TNK1	
ENSG00000284009	10184	15299	-1		HG2046_PATCH	HGNC:16495	PLSCR3	Q9NRY6
ENSG00000284009	10184	15299	-1		HG2046_PATCH	HGNC:16495	PLSCR3	
ENSG00000027001	23730189	23889400	-1	q12.12	13	HGNC:7104	MIPEP	Q99797
ENSG00000284483	10191	24554	-1		HG2046_PATCH	HGNC:49186	TMEM256-PLSCR3	
ENSG00000159086	32733899	32771792	-1	q22.11	21	HGNC:13579	PAXBP1	Q9Y5B6
ENSG00000283771	23432	24554	-1		HG2046_PATCH	HGNC:28618	TMEM256	Q8N2U0
ENSG00000283771	23432	24554	-1		HG2046_PATCH	HGNC:28618	TMEM256	
ENSG00000102781	30202630	30307551	-1	q12.3	13	HGNC:28361	KATNAL1	Q9BW62
ENSG00000283859	25331	40317	1		HG2046_PATCH	HGNC:14290	NLGN2	Q8NFZ4
ENSG00000102781	30202630	30307551	-1	q12.3	13	HGNC:28361	KATNAL1	
ENSG00000283859	25331	40317	1		HG2046_PATCH	HGNC:14290	NLGN2	
ENSG00000284598	40781	42089	1		HG2046_PATCH	HGNC:32429	SPEM1	Q8N4L4
ENSG00000283714	46073	48025	1		HG2046_PATCH	HGNC:27315	SPEM2	Q0P670
ENSG00000283714	46073	48025	1		HG2046_PATCH	HGNC:27315	SPEM2	
ENSG00000284090	49314	53277	1		HG2046_PATCH	HGNC:53651	SPEM3	A0A1B0GUW6
ENSG00000159086	32733899	32771792	-1	q22.11	21	HGNC:13579	PAXBP1	
ENSG00000284090	49314	53277	1		HG2046_PATCH	HGNC:53651	SPEM3	
ENSG00000286184	49318	56735	1		HG2046_PATCH			
ENSG00000236444	30422488	30429758	1	q12.3	13	HGNC:13477	UBE2L5	A0A1B0GUS4
ENSG00000284228	55892	58136	1		HG2046_PATCH	HGNC:26722	TMEM102	Q8N9M5
